,city,city_code,control_type,elevation,location_type,project,sample_type,setting,station,surface,surface_material,traffic
haib17CEM4890_H3KHWCCXY_SL263281,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263282,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263283,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263284,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263285,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263286,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263287,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263288,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263289,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263290,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263291,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263292,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263293,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263294,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263295,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263296,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263297,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263298,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263299,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263300,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263301,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263302,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263303,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263304,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263305,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263306,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263307,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263308,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263309,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263310,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263311,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263312,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263313,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263314,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263315,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263316,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263317,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263318,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263319,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263320,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263321,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263322,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263323,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263324,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263325,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263326,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263327,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263328,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263329,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263330,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263331,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263332,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263333,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263334,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263335,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263336,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263337,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263338,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263339,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263340,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263341,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263342,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263343,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263344,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263345,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263346,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263347,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263348,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263349,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263350,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263351,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263352,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263353,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263354,porto,POR,,,,,environmental_microbiome,,,,,
