,,FID,sample_number,,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city
Hannah,Barceloneta,48,CDS16-BCN-071,21.06.2016,mdc_photo_mdc_45e90a_1466512410180_1466512467896.jpg,sub_line,urban,Plastic,Seats,,Barceloneta,subway_car,,Seat near door,middle,,,,,,,,,,,,2.18465E+12,4.13818E+13,,Barcelona
Hannah,Barceloneta,47,CDS16-BCN-072,21.06.2016,mdc_photo_mdc_48d82a_1466512108632_1466512342740.jpg,sub_line,urban,Plastic,Hannah email,,Barceloneta,subway_car,,Pole,middle,,,,,,,,,,,,2.18465E+12,4.13818E+13,,Barcelona
Álvaro Aranguren,Sagrera,91,CDS16-BCN-085,21.06.2016,mdc_photo_cdv_photo_001_1466602573705.jpg,sub_line,urban,Glass,Kiosk,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,92,CDS16-BCN-086,21.06.2016,mdc_photo_cdv_photo_002_1466604235679.jpg,sub_line,urban,Glass,Kiosk,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,93,CDS16-BCN-087,21.06.2016,mdc_photo_cdv_photo_003_1466604365955.jpg,sub_line,urban,Glass,Kiosk,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,94,CDS16-BCN-88,21.06.2016,no pic,sub_line,urban,Glass,Kiosk,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,95,CDS16-BCN-089,21.06.2016,mdc_photo_cdv_photo_005_1466604729939.jpg,sub_line,urban,Metal,Turnstile,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,96,CDS16-BCN-090,21.06.2016,mdc_photo_cdv_photo_006_1466604869122.jpg,sub_line,urban,Metal,Turnstile,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,97,CDS16-BCN-091,21.06.2016,mdc_photo_cdv_photo_007_1466606726337.jpg,sub_line,urban,Metal,Turnstile,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,98,CDS16-BCN-092,21.06.2016,mdc_photo_cdv_photo_008_1466606826349.jpg,sub_line,urban,Metal,Turnstile,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,99,CDS16-BCN-093,21.06.2016,mdc_photo_cdv_photo_009_1466606965166.jpg,sub_line,urban,Metal,Handrail,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,100,CDS16-BCN-094,21.06.2016,mdc_photo_cdv_photo_010_1466615430499.jpg,sub_line,urban,Metal,Handrail,,Sagrera,subway_station,,,,,,,,,,,,,,,2.1866E+12,4.14205E+13,,Barcelona
