Sample Number,Site,Surface,Collector,Date of Collection,Notes,
W0444,6 - 77 St,Wooden Bench,,,,
W0445,6 - 96 St,Turnstile,,,,
W0446,6 - 96 St,Stairwell Railing,,,,
W0447,6 - 110 St,Kiosk,,,,
W0448,6 - 110 St,Other,,,,
W0449,6 - 125 St,Other,,,,
W0450,6 - 125 St,Turnstile,,,,
W0451,4/5/6 Train,Pole,,,,
W0452,4/5/6 Train,Seat Rail,,,,
W0453,4/5/6 Train,Doors,,,,
W0454,4/5/6 Train,Ceiling Rail,,,,
W0455,4/5/6 Train,Seat near door,,,,
W0456,4/5/6 Train,Pole,,,,
W0457,4/5/6 Train,Doors,,,,
W0458,4/5/6 Train,Center seat,,,,
W0459,4/5/6 Train,Ceiling Rail,,,,
W0460,4/5/6 Train,,,,,
W0461,1/2/3 - Chambers St,Stairwell Railing,,,,
W0462,1/2/3 - Chambers St,Turnstile,,,,
W0463,1 - Canal St,Kiosk,,,,
W0464,1 - Canal St,Turnstile,,,,
W0465,1 - Christopher St ,Wooden Bench,,,,
W0466,1 - Christopher St ,Kiosk,,,,
W0467,1 - 18 St,Wooden BenchCeiling Rail,,,,
W0468,1 - 18 St,Stairwell Railing,,,,
W0469,1 - Penn Station,Stairwell Railing,,,,
W0470,1 - Penn Station,Kiosk,,,,
W0471,1 - Times Square,Wooden Bench,,,,
W0472,1 - Times Square,Stairwell Railing,,,,
W0473,1 - 59 St Columbus Circle,Wooden Bench,,,,
W0474,1 - 59 St Columbus Circle,Other,,,,
W0475,1 - 72 St ,Wooden Bench,,,,
W0476,1 - 72 St ,Stairwell Railing,,,,
W0477,1 - 96 St ,Stairwell Railing,,,,
W0478,1 - 96 St ,Stairwell Railing,,,,
W0479,1 - Cathedral Pkwy 110 St,Wooden Bench,,,,
W0480,1 - Cathedral Pkwy 110 St,Kiosk,,,,
W0481,1 Train,Doors,,,,
W0482,1 Train,Seat near door,,,,
W0483,1 Train,Pole,,,,
W0484,1 Train,Center seat,,,,
W0485,1 Train,Seat Rail,,,,
W0486,1 Train,Doors,,,,
W0487,1 Train,Pole,,,,
W0488,1 Train,Seat near door,,,,
W0489,1 Train,Doors,,,,
W0490,1 Train,Seat Rail,,,,
W0491,C - Spring St,Other,,,,
W0492,C - Spring St,Other,,,,
W0493,A/C/E - West 4 St,Stairwell Railing,,,,
W0494,A/C/E - West 4 St,Other,,,,
W0495,C - 23 St,Other,,,,
W0496,C - 23 St,Stairwell Railing,,,,
W0497,C - 50 St,Wooden Bench,,,,
W0498,C - 50 St,Stairwell Railing,,,,
W0499,C - 81 St ,Turnstile,,,,
W0500,C - 81 St ,Wooden Bench,,,,
W0501,C - 96 St,Stairwell Railing,,,,
W0502,C - 96 St ,Kiosk,,,,
W0503,C - 110 St,Wooden Bench,,,,
W0504,C - 110 St,Other,,,,
W0505,C - 125 St,Other,,,,
W0506,C - 125 St,Stairwell Railing,,,,
W0507,C - 145 St,Wooden Bench,,,,
W0508,C - 145 St,Other,,,,
W0509,C - 163 St,Other,,,,
W0510,C - 163 St,Wooden Bench,,,,
W0511,C Train,Doors,,,,
W0512,C Train,Ceiling Rail,,,,
W0513,C Train,Center seat,,,,
W0514,C Train,Seat near door,,,,
W0515,C Train,Pole,,,,
W0516,C Train,Seat Rail,,,,
W0517,C Train,Doors,,,,
W0518,C Train,Center seat,,,,
W0519,C Train,Seat Rail,,,,
W0520,C Train,Pole,,,,
W0521,B - 155 St,Other,,,,
W0522,B - 155 St,Stairwell Railing,,,,
W0523,B/D - 161 St Yankee Stadium,Stairwell Railing,,,,
W0524,B/D - 161 St Yankee Stadium,Steel Bench,,,,
W0525,B - 167 St ,Wooden Bench,,,,
W0526,B - 167 St,Other,,,,
W0527,B - 170 St ,Turnstile,,,,
W0528,B - 170 St ,Other,,,,
