Sample_ID,Date_Collected,Sample_Collector_Name,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average Ridership (2016),Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature_C,,,,
CSD16_ZRH_072,6/21/16 19:13,,Switzerland,N/A,Zurich,subway_car,Irchel,5,,47.39514238,8.544132055,seat,Other,,,,,
CSD16_ZRH_71,6/21/16 19:14,,Switzerland,N/A,Zurich,subway_car,Irchel,5,,47.3952857,8.5444338,railing,Metal,17,,,,
CSD16_ZRH_084,6/21/16 19:23,,Switzerland,N/A,Zurich,subway_car,Irchel,9,,47.39518191,8.544139162,seat,Other,,,,,
CSD16_ZRH_029,6/25/16 16:42,,Switzerland,N/A,Zurich,subway_station,Klusplatz,3,,47.3639085,8.5665854,railing,Plastic,25.9,,,,
CSD16_ZRH_030,6/25/16 16:49,,Switzerland,N/A,Zurich,subway_station,Klusplatz,3,,47.3639085,8.5665854,seat,Wood,25.5,,,,
Test,6/19/16 14:30,,Switzerland,N/A,Zurich,subway_car,Oerlikon,15,,47.36312972,8.546590805,,Metal,,,,,
CSD16_ZRH_024,6/21/16 19:22,,Switzerland,N/A,Zurich,subway_station,Paradeplatz,10,,47.37001112,8.539321767,seat,Wood,,,,,
CSD16_ZRH_023,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_station,Paradeplatz,10,,47.37004029,8.539345823,railing,Plastic,,,,,
CSD16_ZRH_019,6/21/16 20:46,,Switzerland,N/A,Zurich,subway_station,Sternen Oerlikon,10,,47.40959562,8.546458874,railing,Wood,20,,,,
CSD16_ZRH_020,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_station,Sternen Oerlikon,14,,47.40959897,8.546416629,seat,Metal,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
