Sample_#,Date_Collected,Bus_Number,Bus_Line,Area,Material,Label
CSD16-FAI-0358,,,,Women's Bathroom (handicapped stall) seat,,Airport Women's Bathroom (handicapped stall) seat_28_LB_kan
CSD16-FAI-0359,,,,Women's Bathroom (handicapped stall) seat,,Airport Women's Bathroom (handicapped stall) seat_28_LB_strep
CSD16-FAI-0360,,,,Women's Bathroom (handicapped stall) seat,,Airport Women's Bathroom (handicapped stall) seat_28_LB_tet
CSD16-FAI-0361,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_28_LB_none
CSD16-FAI-0362,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_28_LB_amp
CSD16-FAI-0363,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_28_LB_kan
CSD16-FAI-0364,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_28_LB_strep
CSD16-FAI-0365,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_28_LB_tet
CSD16-FAI-0366,,,,Family restroom sink counter,,Airport Family restroom sink counter_28_LB_none
CSD16-FAI-0367,,,,Family restroom sink counter,,Airport Family restroom sink counter_28_LB_amp
CSD16-FAI-0368,,,,Family restroom sink counter,,Airport Family restroom sink counter_28_LB_kan
CSD16-FAI-0369,,,,Family restroom sink counter,,Airport Family restroom sink counter_28_LB_strep
CSD16-FAI-0370,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_28_LB_none
CSD16-FAI-0371,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_28_LB_kan
CSD16-FAI-0372,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_28_LB_strep
CSD16-FAI-0373,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_28_LB_tet
CSD16-FAI-0374,,,,Family restroom floor,,Airport Family restroom floor_28_LB_none
CSD16-FAI-0375,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_28_LB_none
CSD16-FAI-0376,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_28_LB_amp
CSD16-FAI-0377,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_28_LB_kan
CSD16-FAI-0378,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_28_LB_tet
CSD16-FAI-0379,,,,Jetway 2 floor (right after above area),,Airport Jetway 2 floor (right after above area)_28_LB_none
CSD16-FAI-0380,,,,Jetway 2 floor (right after above area),,Airport Jetway 2 floor (right after above area)_28_LB_amp
