city,barcode,setting,ground_level,traffic,latitude,longitude,material,sample_place,,
bogota,235074183,urban,above_ground_closed,,4.65067678,-74.10169449,plastic,seat,,
bogota,235074152,urban,above_ground_closed,,4.63045787,-74.08304739,glass,window,,
bogota,235078221,urban,above_ground_closed,,4.62001385,-74.07605803,metal_plastic,pole,,
bogota,235074123,urban,above_ground_mixed,,4.60252412,-74.08070675,plastic,map,,
bogota,235082271,urban,above_ground_mixed,,4.60280344,-74.0803475,metal,handrail,,
bogota,235072678,urban,above_ground_closed,,4.6034858,-74.079685,metal,turnstile,,
bogota,235075579,urban,above_ground_mixed,,4.56558597,-74.09708519,plastic,map,,
bogota,235082323,urban,above_ground_mixed,,4.56600611,-74.09693967,metal,handrail,,
bogota,235082301,urban,above_ground_mixed,,4.56605257,-74.09665304,metal,turnstile,,
bogota,235074188,urban,above_ground_closed,,4.56849541,-74.10045424,plastic,seat,,
bogota,235074177,urban,above_ground_closed,,4.57271005,-74.09732204,glass,window,,
bogota,235074175,urban,above_ground_closed,,4.58194487,-74.08996779,metal_plastic,pole,,
bogota,235078192,urban,above_ground_closed,medium,4.6344749,-74.1515558,metal_plastic,pole,,
bogota,235030871,urban,above_ground_mixed,ligth,4.6311528,-74.1468538,other,seat,,
brisbane,235062644,urban,above_ground_closed,,-27.499992,153.012182,wood,bench,,
brisbane,235062796,urban,above_ground_closed,,-27.499777,153.012236,wood,bench,,
brisbane,235038880,urban,above_ground_closed,,-27.499759,153.012244,wood,bench,,
brisbane,235038956,urban,above_ground_closed,,-27.499761,153.012254,other,other,,
brisbane,235062833,urban,above_ground_open,,-27.498877,153.011073,metal,vert_pole,,
brisbane,235062806,urban,above_ground_open,,-27.497807,153.010763,metal,vert_pole,,
brisbane,235040698,urban,above_ground_open,,-27.498698,153.011066,other,other,,
brisbane,235062789,urban,above_ground_open,,-27.498001,153.01102,metal_plastic,ticket_machine,,
brisbane,235038941,urban,above_ground_open,,-27.498024,153.011002,metal_plastic,ticket_machine,,
brisbane,235062602,urban,above_ground_open,,-27.497783,153.010804,metal_plastic,ticket_machine,,
brisbane,235062615,urban,above_ground_open,,-27.497769,153.010815,other,other,,
brisbane,235030334,urban,above_ground_closed,,-27.499995,153.01224,other,other,,
brisbane,235030330,urban,above_ground_closed,,-27.499989,153.012246,other,other,,
brisbane,235030331,urban,above_ground_closed,,-27.49997,153.012257,other,other,,
brisbane,235037777,urban,above_ground_open,,-27.493646,153.030655,metal_plastic,ticket_machine,,
brisbane,235038516,urban,above_ground_open,,-27.493638,153.030669,metal_plastic,ticket_machine,,
brisbane,235038924,urban,above_ground_open,,-27.493646,153.030672,metal_plastic,bench,,
brisbane,235059188,urban,above_ground_open,,-27.493568,153.030511,other,other,,
brisbane,235037784,urban,above_ground_open,,-27.481796,153.023223,metal,handrail,,
brisbane,235062651,urban,above_ground_open,,-27.481947,153.022842,metal_plastic,other,,
brisbane,235062629,urban,above_ground_open,,-27.481806,153.023123,metal,seat,,
brisbane,235059165,urban,above_ground_open,,-27.482048,153.022935,other,other,,
brisbane,235059174,urban,under_ground,,-27.465808,153.026431,painted_metal,bench,,
brisbane,235059134,urban,under_ground,,-27.465901,153.026382,plastic,handrail,,
brisbane,235062777,urban,under_ground,,-27.465709,153.026538,metal_plastic,sensor,,
brisbane,235062591,urban,under_ground,,-27.466028,153.026191,other,other,,
brisbane,235059173,urban,under_ground,,-27.456323,153.033558,metal,bench,,
brisbane,235038537,urban,under_ground,,-27.456323,153.033558,plastic,handrail,,
brisbane,235038554,urban,under_ground,,-27.456149,153.033706,metal,horiz_pole,,
brisbane,235037789,urban,under_ground,,-27.456011,153.033923,other,other,,
brisbane,235062851,urban,under_ground,,-27.431417,153.075081,plastic,touchscreen,,
brisbane,235038881,urban,above_ground_open,,-27.431436,153.074947,painted_metal,handrail,,
brisbane,235059150,urban,above_ground_open,,-27.431326,153.074996,metal_plastic,other,,
brisbane,235059159,urban,above_ground_open,,-27.431322,153.074989,other,other,,
brisbane,235038891,urban,above_ground_open,,-27.420391,152.992436,metal_plastic,ticket_machine,,
brisbane,235059162,urban,above_ground_open,,-27.420422,152.992454,painted_metal,handrail,,
brisbane,235062667,urban,above_ground_open,,-27.420438,152.992377,metal,seat,,
brisbane,235062849,urban,above_ground_open,,-27.420399,152.992471,other,other,,
brisbane,235038939,urban,above_ground_open,,-27.403176,153.108892,metal_plastic,ticket_machine,,
brisbane,235037754,urban,above_ground_open,,-27.403509,153.108902,metal,handrail,,
