Sample_ID,Date_Collected,Collected_By,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average_Ridership,Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature ℃,Collection_Time,,,
CSD16-HKG-0006,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,University,,,22.41353694,114.2099339,Bench,Wood,30.3,7:08:00 AM,,,
CSD16-HKG-0007,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Lo Wu,,,22.52579775,114.1140461,Bench/Seat,Metal,29.9,7:39:00 AM,,,
CSD16-HKG-0008,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Sheung Shui,,,22.50224114,114.1309967,Desk,Ceramic,29.6,8:30:00 AM,,,
CSD16-HKG-0009,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Sheung Shui,,,22.50201446,114.1309429,Bookshelf,Metal,27.4,8:35:00 AM,,,
CSD16-HKG-0010,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Sheung Shui,,,22.50135784,114.1309662,Toilet Counter,Wood,27.8,8:40:00 AM,,,
CSD16-HKG-0011,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Sheung Shui,,,22.5021479,114.1306711,Bench/Seat,Vinyl,28.9,1:29:00 PM,,,
CSD16-HKG-0012,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Sheung Shui,,,22.50102838,114.128215,Kiosk,Glass,28.7,9:11:00 AM,,,
CSD16-HKG-0013,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Sheung Shui,,,22.50107925,114.1278005,Handrail,Metal,29.6,9:17:00 AM,,,
CSD16-HKG-0014,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Sheung Shui,,,22.5012874,114.1277522,Bench/Seat,Wood,29.8,9:19:00 AM,,,
CSD16-HKG-0015,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Tai Po Market,,,22.44688807,114.1664729,Bench/Seat,Leather,30.2,9:47:00 AM,,,
