INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND_OUTBOUND_METADATA,OUTBOUND,OUTBOUND,OUTBOUND,METADATA
inbound_4,inbound_4__H01,inbound_4,H01,235030953,nyc_4__H01,New_York_City,USA,\N
inbound_4,inbound_4__H02,inbound_4,H02,235030069,nyc_4__H02,New_York_City,USA,\N
inbound_4,inbound_4__H03,inbound_4,H03,235030923,nyc_4__H03,New_York_City,USA,\N
inbound_4,inbound_4__H04,inbound_4,H04,235030970,nyc_4__B05,New_York_City,USA,\N
inbound_4,inbound_4__H06,inbound_4,H06,235196508,nyc_10__C04,New_York_City,USA,\N
inbound_4,inbound_4__H11,inbound_4,H11,235030765,nyc_9__H04,New_York_City,USA,\N
inbound_4,inbound_4__H12,inbound_4,H12,232021446,nyc_7__A04,New_York_City,USA,\N
inbound_6,inbound_6__B07,inbound_6,B07,235033773,nyc_3__G06,New_York_City,USA,\N
inbound_6,inbound_6__C01,inbound_6,C01,235030728,nyc_9__B06,New_York_City,USA,\N
inbound_6,inbound_6__C05,inbound_6,C05,235033747,nyc_6__G12,New_York_City,USA,\N
inbound_6,inbound_6__D01,inbound_6,D01,235030743,nyc_9__D08,New_York_City,USA,\N
inbound_6,inbound_6__F12,inbound_6,F12,235034035,nyc_6__B01,New_York_City,USA,\N
inbound_6,inbound_6__G02,inbound_6,G02,235030748,nyc_9__G07,New_York_City,USA,\N
inbound_6,inbound_6__H06,inbound_6,H06,235034117,nyc_3__E07,New_York_City,USA,\N
inbound_7,inbound_7__B02,inbound_7,B02,232020822,nyc_2__C05,New_York_City,USA,\N
inbound_7,inbound_7__B03,inbound_7,B03,232020868,nyc_2__A06,New_York_City,USA,\N
inbound_7,inbound_7__B04,inbound_7,B04,235030088,nyc_4__A12,New_York_City,USA,\N
inbound_7,inbound_7__C01,inbound_7,C01,235198211,nyc_2__B08,New_York_City,USA,\N
inbound_7,inbound_7__C02,inbound_7,C02,232034743,nyc_2__E05,New_York_City,USA,\N
inbound_7,inbound_7__D01,inbound_7,D01,235198271,nyc_2__D05,New_York_City,USA,\N
inbound_7,inbound_7__D02,inbound_7,D02,232020828,nyc_2__B05,New_York_City,USA,\N
inbound_7,inbound_7__D05,inbound_7,D05,235198297,nyc_2__G08,New_York_City,USA,\N
inbound_7,inbound_7__E01,inbound_7,E01,235198276,nyc_2__C08,New_York_City,USA,\N
inbound_7,inbound_7__E04,inbound_7,E04,235198230,nyc_2__F05,New_York_City,USA,\N
inbound_7,inbound_7__E05,inbound_7,E05,232022016,nyc_2__F06,New_York_City,USA,\N
inbound_7,inbound_7__F01,inbound_7,F01,235154406,nyc_2__F07,New_York_City,USA,\N
inbound_7,inbound_7__F04,inbound_7,F04,235198241,nyc_2__E07,New_York_City,USA,\N
inbound_7,inbound_7__F06,inbound_7,F06,232021512,nyc_2__E08,New_York_City,USA,\N
inbound_7,inbound_7__G02,inbound_7,G02,235198281,nyc_2__D08,New_York_City,USA,\N
inbound_7,inbound_7__G04,inbound_7,G04,232020850,nyc_2__A05,New_York_City,USA,\N
inbound_7,inbound_7__G05,inbound_7,G05,232021934,nyc_2__G06,New_York_City,USA,\N
inbound_7,inbound_7__G06,inbound_7,G06,235196358,nyc_2__B06,New_York_City,USA,\N
inbound_7,inbound_7__H01,inbound_7,H01,235196513,nyc_2__H05,New_York_City,USA,\N
inbound_7,inbound_7__H03,inbound_7,H03,232021500,nyc_2__H08,New_York_City,USA,\N
inbound_7,inbound_7__H05,inbound_7,H05,232034765,nyc_2__H07,New_York_City,USA,\N
inbound_8,inbound_8__A03,inbound_8,A03,235030067,nyc_4__E08,New_York_City,USA,\N
inbound_8,inbound_8__A04,inbound_8,A04,235033993,nyc_4__A07,New_York_City,USA,\N
inbound_8,inbound_8__A05,inbound_8,A05,235030981,nyc_4__C05,New_York_City,USA,\N
inbound_8,inbound_8__A06,inbound_8,A06,235030958,nyc_4__D06,New_York_City,USA,\N
inbound_8,inbound_8__B03,inbound_8,B03,235029425,nyc_4__G09,New_York_City,USA,\N
inbound_8,inbound_8__B04,inbound_8,B04,235030951,nyc_4__G04,New_York_City,USA,\N
inbound_8,inbound_8__B05,inbound_8,B05,235030987,nyc_4__D05,New_York_City,USA,\N
inbound_8,inbound_8__B06,inbound_8,B06,235030101,nyc_4__C08,New_York_City,USA,\N
inbound_8,inbound_8__C03,inbound_8,C03,235030940,nyc_4__B06,New_York_City,USA,\N
inbound_8,inbound_8__C04,inbound_8,C04,235034031,nyc_4__A08,New_York_City,USA,\N
inbound_8,inbound_8__C05,inbound_8,C05,235029455,nyc_4__E05,New_York_City,USA,\N
inbound_8,inbound_8__C06,inbound_8,C06,235030074,nyc_4__D07,New_York_City,USA,\N
inbound_8,inbound_8__D03,inbound_8,D03,235033989,nyc_4__G07,New_York_City,USA,\N
inbound_8,inbound_8__D04,inbound_8,D04,235030979,nyc_4__A05,New_York_City,USA,\N
inbound_8,inbound_8__D05,inbound_8,D05,235030117,nyc_4__C07,New_York_City,USA,\N
inbound_8,inbound_8__D06,inbound_8,D06,235030975,nyc_4__H05,New_York_City,USA,\N
inbound_8,inbound_8__E03,inbound_8,E03,235029424,nyc_4__E06,New_York_City,USA,\N
inbound_8,inbound_8__E04,inbound_8,E04,235030059,nyc_4__B08,New_York_City,USA,\N
inbound_8,inbound_8__E05,inbound_8,E05,235034004,nyc_4__G06,New_York_City,USA,\N
inbound_8,inbound_8__E12,inbound_8,E12,235030751,nyc_9__C09,New_York_City,USA,\N
inbound_8,inbound_8__F03,inbound_8,F03,235030905,nyc_4__F05,New_York_City,USA,\N
inbound_8,inbound_8__F04,inbound_8,F04,235030122,nyc_4__F06,New_York_City,USA,\N
inbound_8,inbound_8__F05,inbound_8,F05,235033979,nyc_4__H07,New_York_City,USA,\N
inbound_8,inbound_8__G02,inbound_8,G02,235030043,nyc_4__A06,New_York_City,USA,\N
inbound_8,inbound_8__G03,inbound_8,G03,235033981,nyc_4__H09,New_York_City,USA,\N
inbound_8,inbound_8__G04,inbound_8,G04,235030091,nyc_4__D08,New_York_City,USA,\N
inbound_8,inbound_8__G05,inbound_8,G05,235030086,nyc_4__E07,New_York_City,USA,\N
inbound_8,inbound_8__H02,inbound_8,H02,235030078,nyc_4__B07,New_York_City,USA,\N
inbound_8,inbound_8__H03,inbound_8,H03,235030066,nyc_4__F07,New_York_City,USA,\N
inbound_8,inbound_8__H04,inbound_8,H04,235030925,nyc_4__G05,New_York_City,USA,\N
inbound_8,inbound_8__H05,inbound_8,H05,235030083,nyc_4__H06,New_York_City,USA,\N
inbound_9,inbound_9__A01,inbound_9,A01,232022014,nyc_2__G07,New_York_City,USA,\N
inbound_9,inbound_9__A02,inbound_9,A02,232020839,nyc_2__C06,New_York_City,USA,\N
inbound_9,inbound_9__A03,inbound_9,A03,232034738,nyc_2__B07,New_York_City,USA,\N
inbound_9,inbound_9__A04,inbound_9,A04,232021491,nyc_2__D07,New_York_City,USA,\N
inbound_9,inbound_9__A05,inbound_9,A05,232021339,nyc_2__C07,New_York_City,USA,\N
inbound_9,inbound_9__A06,inbound_9,A06,232022002,nyc_2__H06,New_York_City,USA,\N
inbound_9,inbound_9__A07,inbound_9,A07,232021933,nyc_2__A07,New_York_City,USA,\N
inbound_9,inbound_9__A08,inbound_9,A08,232021534,nyc_2__D06,New_York_City,USA,\N
inbound_9,inbound_9__A09,inbound_9,A09,232021526,nyc_2__A08,New_York_City,USA,\N
inbound_9,inbound_9__A10,inbound_9,A10,235196480,nyc_2__G05,New_York_City,USA,\N
inbound_9,inbound_9__A12,inbound_9,A12,235033974,nyc_5__E06,New_York_City,USA,\N
inbound_9,inbound_9__C04,inbound_9,C04,235034003,nyc_5__G06,New_York_City,USA,\N
