,building_setting,car_location,car_or_station,city,humidity,light_type,line,place_type,subway_station_autofill,subway_station_surface,surface_material,temperature,temperature_type,traffic,weather
CDC-16-SAC-109,urban,,subway_station,sacramento,26,natural_light,Blue,sub_line,12th & I,Seat,Metal,90,Farenheit,,sunny
CDC-16-SAC-110,urban,,subway_station,sacramento,26,natural_light,Blue,sub_line,Alkali Flat/La Valentina,Kiosk,Metal,90,Farenheit,,sunny
CDC-16-SAC-111,urban,,subway_car,sacramento,30,natural_light,Blue,sub_line,Alkali Flat/La Valentina,Seat,Concrete,86,Farenheit,,sunny
CDC-16-SAC-112,urban,,subway_station,sacramento,27,natural_light,Blue,sub_line,Globe,Kiosk,Metal,90,Farenheit,,sunny
CDC-16-SAC-113,urban,,subway_station,sacramento,30,natural_light,Blue,sub_line,Globe,Seat,Concrete,90,Farenheit,,sunny
CDC-16-SAC-114,urban,last,subway_car,sacramento,,electric_light,Blue,sub_line,,Kiosk,Vinyl,,Farenheit,,sunny
CDC-16-SAC-115,urban,,subway_car,sacramento,26,electric_light,Blue,sub_line,,Seat,Vinyl,90,Farenheit,,sunny
CDC-16-SAC-116,urban,,subway_station,sacramento,26,natural_light,Blue,sub_line,Watt/I-80 West,Seat,Metal,90,Farenheit,,sunny
CDC-16-SAC-117,urban,,,sacramento,26,natural_light,Blue,sub_line,Watt/I-80 West,Seat,Concrete,90,Farenheit,,sunny
CDC-16-SAC-122,urban,,subway_station,sacramento,,natural_light,Blue,other,Cosumnes River College,Bench,Other,,Farenheit,5,sunny
CDC-16-SAC-123,urban,,subway_station,sacramento,,natural_light,Blue,other,Cosumnes River College,Kiosk,Plastic,,,5,sunny
CDC-16-SAC-124,urban,,subway_station,sacramento,,natural_light,Blue,other,Center Parkway,Bench,Metal,,,5,sunny
CDC-16-SAC-124,urban,,subway_station,sacramento,,natural_light,Blue,other,Center Parkway,Bench,Metal,86,Farenheit,2,sunny
CDC-16-SAC-125,urban,,subway_station,sacramento,,natural_light,Blue,other,Center Parkway,Kiosk,Plastic,,,5,sunny
CDC-16-SAC-126,urban,,subway_station,sacramento,,natural_light,Blue,other,Franklin,Bench,Metal,,,0,sunny
CDC-16-SAC-127,urban,,subway_station,sacramento,,natural_light,Blue,other,Franklin,Kiosk,Plastic,86,Farenheit,0,sunny
CDC-16-SAC-128,urban,,subway_station,sacramento,,natural_light,Blue,other,Meadowview,Bench,Metal,87,Farenheit,10,sunny
CDC-16-SAC-129,urban,,subway_station,sacramento,,natural_light,Blue,other,Meadowview,Kiosk,Other,87,Farenheit,10,sunny
CDC-16-SAC-130,urban,,subway_station,sacramento,,natural_light,Blue,other,Florin,Bench,Metal,89,Farenheit,10,sunny
CDC-16-SAC-131,urban,,,sacramento,,natural_light,Blue,other,Florin,Kiosk,Plastic,89,Farenheit,10,sunny
CDC-16-SAC-132,urban,,subway_station,sacramento,,natural_light,Blue,other,47th Avenue,Bench,Other,90,Farenheit,5,sunny
CDC-16-SAC-132,urban,,subway_station,sacramento,,natural_light,Blue,other,47th Avenue,Bench,Concrete,89,Farenheit,5,sunny
CDC-16-SAC-133,urban,,subway_station,sacramento,,natural_light,Blue,,47th,Kiosk,Plastic,,,5,sunny
CDC-16-SAC-134,urban,,subway_station,sacramento,,natural_light,Blue,,Fruitridge,Bench,Concrete,,,5,sunny
CDC-16-SAC-135,urban,,subway_station,sacramento,,natural_light,Blue,,Fruitridge,Kiosk,Plastic,,,5,sunny
CDC-16-SAC-136,urban,,subway_station,sacramento,,natural_light,Blue,,City College,Bench,Concrete,,,10,sunny
CDC-16-SAC-137,urban,,subway_station,sacramento,,natural_light,Blue,other,City College,Kiosk,Plastic,92,Farenheit,10,sunny
CDC-16-SAC-138,urban,,subway_station,sacramento,,natural_light,Blue,,4th Ave,Bench,Metal,,,0,sunny
CDC-16-SAC-139,urban,,subway_station,sacramento,,natural_light,Blue,,4th Ave,Kiosk,Plastic,,,0,sunny
CDC-16-SAC-140,urban,,subway_station,sacramento,,natural_light,Blue,other,Broadway,Bench,Metal,95,Farenheit,2,sunny
CDC-16-SAC-141,urban,,subway_station,sacramento,,natural_light,Blue,other,Broadway,Kiosk,Plastic,95,Farenheit,2,sunny
CDC-16-SAC-142,urban,last,subway_car,sacramento,,electric_light,Blue,other,Broadway,Seat,Other,,,15,sunny
CDC-16-SAC-143,urban,,,sacramento,,electric_light,Blue,,Broadway,Seat,Plastic,,,15,sunny
CDC-16-SAC-A1,urban,,subway_station,sacramento,18,natural_light,Blue,sub_line,Roseville Road,Top of a kiosk,,99,Farenheit,0,sunny
CDC-16-SAC-A2,urban,,subway_station,sacramento,18,natural_light,Blue,sub_line,Roseville Road,Sitting on bench,,99,Farenheit,3,sunny
